day	PM25	Ta	prec	SLP
20100701	7.239	290.85	-1.0255e-05	102380
20100702	7.556	290.62	-1.0255e-05	102497
20100703	13	293.57	-1.0255e-05	102100
20100704	24.55	297.47	0.97293	101702
20100705	31.82	299.37	0.1855	101602
20100706	25.6	300.27	-1.0255e-05	101717
20100707	23.77	301.3	0.02408	101790
20100708	28.6	301.92	0.67133	101587
20100709	10.97	298.83	21.719	101245
20100710	10.15	295.2	3.4858	101350
20100711	14.21	297.3	1.4913	101327
20100712	17.21	296.48	12.34	100860
20100713	13.32	296.45	14.138	100985
20100714	14.95	294.95	1.4457	101492
20100715	21.27	299.7	1.2768	101602
20100716	16.92	298.45	6.8875	101445
20100717	18.57	297.87	11.374	101422
20100718	13.68	297.22	12.789	101380
20100719	10.96	296.72	14.788	101155
20100720	10.53	296.8	14.529	101332
20100721	11.84	297.18	11.751	101520
20100722	14.79	298.08	2.0415	101695
20100723	21.68	299.7	4.2956	101385
20100724	20.88	300.08	6.9079	101347
20100725	9.061	299.8	16.578	101320
20100726	10.15	295.15	0.038088	101845
20100727	19.18	296.37	0.33441	101815
20100728	24.35	297.75	11.753	101597
20100729	10.85	297.45	9.2173	101440
20100730	13.25	293.97	-1.0255e-05	101650
20100731	19.96	295.7	2.0442	101257
